J. Wisehart 	 {'Supporting': 1, 'National': 1, 'Grid': 1, 'Teachers': 1, 'Learning': 1, 'Through': 1, 'The': 1}
Larry L. Kinney 	 {'control': 1, 'Group': 1, 'microprogrammed': 1, 'Strategy': 1, 'detection': 1, 'Intrainverted': 1, 'Probing': 1, 'Evaluation': 1, 'Linear': 1, 'units': 1, 'Relating': 1, 'Chips': 1, 'method': 1, 'Cyclic': 1, 'Shift': 1, 'Large': 1, 'concurrent': 1, 'Behavior': 1, 'Feedback': 1, 'Testing': 1, 'Number': 1, 'Registers': 1, 'error': 1}
Gianfranco Bilardi 	 {'FatTrees': 1, 'Functions': 1, 'For': 1, 'Locality': 1, 'Temporal': 1, 'Memory': 1, 'Hierarchies': 1, 'CREWPRAM': 1, 'Portability': 1, 'Monotone': 1, 'BSP': 1, 'Broadcast': 1, 'across': 1, 'versus': 1, 'Lower': 1, 'LogP': 1, 'Bounds': 1, 'Time': 1, 'Associative': 1, 'Operations': 1, 'Characterization': 1, 'Computation': 1, 'Its': 1}
Joseph C. Culberson 	 {'Convex': 1, 'Binary': 1, 'Search': 1, 'Extended': 1, 'Orthogonal': 1, 'Covering': 1, 'Simple': 1, 'Abstract': 1, 'Uncertainty': 1, 'Effect': 1, 'Trees': 1, 'Searching': 1, 'Minimum': 1, 'Orthogonally': 1, 'Updates': 1, 'Number': 1, 'The': 1, 'Polygons': 1, 'Polygon': 1}
James Schoening 	 {'Lifelong': 1, 'Learners': 1, 'Quality': 1, 'Creating': 1, 'Assurance': 1}
Marcello Restelli 	 {'Milan': 1, 'Fun2Mas': 1, 'The': 1, 'Team': 1, 'Robocup': 1}
R. W. Zmud 	 {'Control': 1, 'Enhancements': 1, 'Two': 1, 'System': 1, 'Computer': 1, 'Pricing': 1, 'Flexible': 1, 'Allocating': 1, 'Resources': 1}
Anshuman Chandra 	 {'Partitioning': 1, 'Resource': 1, 'Compression': 2, 'Scan': 1, 'LowPower': 1, 'PinCount': 1, 'Testing': 2, 'SystemonaChip': 1, 'Combining': 1, 'Test': 3, 'Based': 1, 'Data': 2, 'Reduced': 1}
María Carmen Alonso 	 {'populations': 1, 'variables': 1, 'random': 2, 'value': 1, 'sampling': 1, 'Estimating': 1, 'stratified': 1, 'expected': 1, 'fuzzy': 1, 'finite': 1}
Emily H. Moore 	 {'Dihedral': 1, 'Looking': 1, 'Groups': 1, 'Sets': 1, 'Images': 1, 'Difference': 1}
Mathew Weaver 	 {'Superimposed': 1, 'Application': 1, 'Bundles': 1, 'Captivity': 1, 'Information': 1}
José Cristóbal Riquelme Santos 	 {'via': 1, 'Selection': 1, 'Evolutionary': 1, 'Algorithm': 1, 'Rules': 1, 'Efficient': 1, 'Evolutivo': 1, 'Feature': 1, 'Numeric': 2, 'Discovering': 1, 'M\xc3\xa9todo': 1, 'Inducci\xc3\xb3n': 1, 'Oblicuas': 1, 'Clasificaci\xc3\xb3n': 1, 'Mediante': 1, 'Attributes': 1, 'Reglas': 1, 'SOAP': 1, 'Association': 1, 'Algoritmo': 1}
Reija Autio 	 {'toolbox': 1, 'CGHPlotter': 1, 'MATLAB': 1, 'analysis': 1, 'CGHdata': 1}
F. Azuaje 	 {'evolving': 1, 'computational': 1, 'strategy': 1, 'game': 1, 'evolutionary': 1, 'cooperation': 1, 'approach': 1}
